"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.74",1,3.20884524537061e-05,0.999967911547546,0.00015516573186564,1,856,5515826,0,177,2.1e-07
"result.75",1,3.28136152210215e-05,0.999967186384779,0.000155165844372283,1,856,5515822,0,181,2.11e-07
"result.76",1,3.3357487296508e-05,0.999966642512704,0.000155165928752373,1,856,5515819,0,184,2.12e-07
"result.77",1,3.42639407556522e-05,0.999965736059244,0.000155166069386061,1,856,5515814,0,189,2.13e-07
"result.78",1,3.51703942147965e-05,0.999964829605785,0.000155166210020003,1,856,5515809,0,194,2.14e-07
"result.79",1,3.58955569821119e-05,0.999964104443018,0.00015516632252734,1,856,5515805,0,198,2.15e-07
"result.80",1,3.73458825167426e-05,0.999962654117483,0.000155166547542504,1,856,5515797,0,206,2.16e-07
"result.81",1,3.84336266677157e-05,0.999961566373332,0.000155166716304306,1,856,5515791,0,212,2.17e-07
"result.82",1,3.95213708186888e-05,0.999960478629181,0.000155166885066474,1,856,5515785,0,218,2.18e-07
"result.83",1,4.00652428941754e-05,0.999959934757106,0.000155166969447696,1,856,5515782,0,221,2.19e-07
"result.84",1,4.15155684288061e-05,0.999958484431571,0.000155167194464737,1,856,5515774,0,229,2.2e-07
"result.85",1,4.31471846552658e-05,0.999956852815345,0.000155167447609687,1,856,5515765,0,238,2.21e-07
"result.86",1,4.5322672957212e-05,0.999954677327043,0.000155167785137573,1,856,5515753,0,250,2.22e-07
"result.87",1,4.6410417108185e-05,0.999953589582892,0.000155167953902066,1,856,5515747,0,256,2.23e-07
"result.88",1,4.78607426428158e-05,0.999952139257357,0.000155168178921962,1,856,5515739,0,264,2.24e-07
"result.89",1,4.82233240264735e-05,0.999951776675974,0.000155168235177038,1,856,5515737,0,266,2.25e-07
"result.90",1,4.85859054101312e-05,0.99995141409459,0.000155168291432154,1,856,5515735,0,268,2.26e-07
"result.91",1,4.94923588692754e-05,0.999950507641131,0.000155168432070125,1,856,5515730,0,273,2.27e-07
"result.92",1,5.0036230944762e-05,0.999949963769055,0.000155168516453029,1,856,5515727,0,276,2.28e-07
"result.93",1,5.13052657875639e-05,0.999948694734212,0.00015516871334683,1,856,5515720,0,283,2.29e-07
"result.94",1,5.29368820140236e-05,0.999947063117986,0.000155168966496736,1,856,5515711,0,292,2.3e-07
"result.95",1,5.34807540895101e-05,0.99994651924591,0.000155169050880222,1,856,5515708,0,295,2.31e-07
"result.96",1,5.4749788932312e-05,0.999945250211068,0.000155169247775379,1,856,5515701,0,302,2.32e-07
"result.97",1,5.63814051587717e-05,0.999943618594841,0.000155169500927029,1,856,5515692,0,311,2.33e-07
"result.98",1,5.80130213852313e-05,0.999941986978615,0.000155169754079505,1,856,5515683,0,320,2.34e-07
"result.99",1,5.92820562280332e-05,0.999940717943772,0.000155169950976447,1,856,5515676,0,327,2.35e-07
"result.100",1,6.03698003790063e-05,0.999939630199621,0.000155170119745652,1,856,5515670,0,333,2.36e-07
"result.101",1,6.14575445299794e-05,0.99993854245547,0.000155170288515223,1,856,5515664,0,339,2.37e-07
"result.102",1,6.2001416605466e-05,0.999937998583394,0.000155170372900147,1,856,5515661,0,342,2.38e-07
"result.103",1,6.27265793727813e-05,0.999937273420627,0.000155170485413521,1,856,5515657,0,346,2.39e-07
"result.104",1,6.38143235237544e-05,0.999936185676476,0.000155170654183888,1,856,5515651,0,352,2.4e-07
"result.105",1,6.4358195599241e-05,0.999935641804401,0.00015517073856921,1,856,5515648,0,355,2.41e-07
"result.106",1,6.47207769828987e-05,0.999935279223017,0.000155170794826142,1,856,5515646,0,357,2.42e-07
"result.107",1,6.58085211338718e-05,0.999934191478866,0.000155170963597182,1,856,5515640,0,363,2.43e-07
"result.108",1,6.58085211338718e-05,0.999934191478866,0.000155170963597182,1,856,5515640,0,363,2.44e-07
"result.109",1,6.68962652848448e-05,0.999933103734715,0.000155171132368589,1,856,5515634,0,369,2.45e-07
"result.110",1,6.70775559766737e-05,0.999932922444023,0.000155171160497193,1,856,5515633,0,370,2.46e-07
"result.111",1,6.79840094358179e-05,0.999932015990564,0.000155171301140364,1,856,5515628,0,375,2.47e-07
"result.112",1,6.81653001276468e-05,0.999931834699872,0.000155171329269029,1,856,5515627,0,376,2.48e-07
"result.113",1,6.85278815113045e-05,0.999931472118489,0.000155171385526389,1,856,5515625,0,378,2.49e-07
"result.114",1,6.88904628949622e-05,0.999931109537105,0.00015517144178379,1,856,5515623,0,380,2.5e-07
"result.115",1,6.9071753586791e-05,0.999930928246413,0.000155171469912506,1,856,5515622,0,381,2.52e-07
"result.116",1,7.07033698132507e-05,0.999929296630187,0.000155171723071407,1,856,5515613,0,390,2.53e-07
"result.117",1,7.16098232723949e-05,0.999928390176728,0.000155171863715598,1,856,5515608,0,395,2.54e-07
"result.118",1,7.28788581151968e-05,0.999927121141885,0.000155172060617893,1,856,5515601,0,402,2.55e-07
"result.119",1,7.37853115743411e-05,0.999926214688426,0.000155172201262696,1,856,5515596,0,407,2.56e-07
"result.120",1,7.41478929579988e-05,0.999925852107042,0.000155172257520688,1,856,5515594,0,409,2.57e-07
"result.121",1,7.46917650334853e-05,0.999925308234967,0.000155172341907753,1,856,5515591,0,412,2.58e-07
"result.122",1,7.52356371089718e-05,0.999924764362891,0.00015517242629491,1,856,5515588,0,415,2.59e-07
"result.123",1,7.63233812599449e-05,0.99992367661874,0.0001551725950695,1,856,5515582,0,421,2.6e-07
"result.124",1,7.68672533354315e-05,0.999923132746665,0.000155172679456932,1,856,5515579,0,424,2.61e-07
"result.125",1,7.79549974864046e-05,0.999922045002514,0.000155172848232072,1,856,5515573,0,430,2.62e-07
"result.126",1,7.83175788700623e-05,0.99992168242113,0.000155172904490533,1,856,5515571,0,432,2.63e-07
"result.127",1,7.94053230210353e-05,0.999920594676979,0.000155173073266163,1,856,5515565,0,438,2.64e-07
"result.128",1,8.03117764801796e-05,0.99991968822352,0.000155173213912801,1,856,5515560,0,443,2.65e-07
"result.129",1,8.08556485556661e-05,0.999919144351444,0.000155173298300907,1,856,5515557,0,446,2.66e-07
"result.130",1,8.21246833984681e-05,0.999917875316601,0.000155173495206843,1,856,5515550,0,453,2.67e-07
"result.131",1,8.28498461657834e-05,0.999917150153834,0.000155173607724745,1,856,5515546,0,457,2.68e-07
"result.132",1,8.339371824127e-05,0.999916606281759,0.000155173692113279,1,856,5515543,0,460,2.69e-07
"result.133",1,8.39375903167565e-05,0.999916062409683,0.000155173776501905,1,856,5515540,0,463,2.7e-07
"result.134",1,8.48440437759008e-05,0.999915155956224,0.000155173917149818,1,856,5515535,0,468,2.71e-07
"result.135",1,8.50253344677296e-05,0.999914974665532,0.000155173945279431,1,856,5515534,0,469,2.72e-07
"result.136",1,8.59317879268739e-05,0.999914068212073,0.00015517408592765,1,856,5515529,0,474,2.73e-07
"result.137",1,8.64756600023604e-05,0.999913524339998,0.000155174170316704,1,856,5515526,0,477,2.74e-07
"result.138",1,8.72008227696758e-05,0.99991279917723,0.000155174282835585,1,856,5515522,0,481,2.76e-07
"result.139",1,8.77446948451623e-05,0.999912255305155,0.000155174367224853,1,856,5515519,0,484,2.78e-07
"result.140",1,8.84698576124777e-05,0.999911530142388,0.00015517447974402,1,856,5515515,0,488,2.79e-07
"result.141",1,8.86511483043066e-05,0.999911348851696,0.000155174507873837,1,856,5515514,0,489,2.8e-07
"result.142",1,8.97388924552797e-05,0.999910261107545,0.000155174676652955,1,856,5515508,0,495,2.81e-07
"result.143",1,9.02827645307662e-05,0.999909717235469,0.000155174761042651,1,856,5515505,0,498,2.82e-07
"result.144",1,9.10079272980816e-05,0.999908992072702,0.000155174873562389,1,856,5515501,0,502,2.83e-07
"result.145",1,9.11892179899104e-05,0.99990881078201,0.000155174901692349,1,856,5515500,0,503,2.84e-07
"result.146",1,9.15517993735681e-05,0.999908448200626,0.0001551749579523,1,856,5515498,0,505,2.85e-07
"result.147",1,9.26395435245412e-05,0.999907360456475,0.000155175126732396,1,856,5515492,0,511,2.86e-07
"result.148",1,9.33647062918566e-05,0.999906635293708,0.000155175239252664,1,856,5515488,0,515,2.87e-07
"result.149",1,9.39085783673432e-05,0.999906091421633,0.000155175323642973,1,856,5515485,0,518,2.88e-07
