"","Sensitivity","Specificity","X1.Spec","PPV","NPV","TP","FP","FN","TN","Cutoff","X.0.867..0.858..0.876.."
"40",1,7.62625519686924e-06,0.999992373744803,0.000259058052046101,1,1529,5900623,0,45,2.31e-07,"0.867 (0.858, 0.876)"
"41",1,7.79572753457744e-06,0.999992204272465,0.000259058095938244,1,1529,5900622,0,46,2.34e-07,"0.867 (0.858, 0.876)"
"42",1,7.96519987228565e-06,0.999992034800128,0.000259058139830401,1,1529,5900621,0,47,2.35e-07,"0.867 (0.858, 0.876)"
"43",1,8.13467220999385e-06,0.99999186532779,0.000259058183722573,1,1529,5900620,0,48,2.36e-07,"0.867 (0.858, 0.876)"
"44",1,8.30414454770206e-06,0.999991695855452,0.00025905822761476,1,1529,5900619,0,49,2.37e-07,"0.867 (0.858, 0.876)"
"45",1,8.81256156082667e-06,0.999991187438439,0.00025905835929141,1,1529,5900616,0,52,2.38e-07,"0.867 (0.858, 0.876)"
"46",1,9.49045091165949e-06,0.999990509549088,0.000259058534860485,1,1529,5900612,0,56,2.39e-07,"0.867 (0.858, 0.876)"
"47",1,9.6599232493677e-06,0.999990340076751,0.000259058578752791,1,1529,5900611,0,57,2.4e-07,"0.867 (0.858, 0.876)"
"48",1,1.01683402624923e-05,0.999989831659738,0.000259058710429799,1,1529,5900608,0,60,2.41e-07,"0.867 (0.858, 0.876)"
"49",1,1.06767572756169e-05,0.999989323242724,0.00025905884210694,1,1529,5900605,0,63,2.43e-07,"0.867 (0.858, 0.876)"
"50",1,1.1524118964158e-05,0.999988475881036,0.000259059061569139,1,1529,5900600,0,68,2.44e-07,"0.867 (0.858, 0.876)"
"51",1,1.18630636395744e-05,0.99998813693636,0.000259059149354123,1,1529,5900598,0,70,2.45e-07,"0.867 (0.858, 0.876)"
"52",1,1.2371480652699e-05,0.999987628519347,0.00025905928103171,1,1529,5900595,0,73,2.46e-07,"0.867 (0.858, 0.876)"
"53",1,1.27104253281154e-05,0.999987289574672,0.000259059368816842,1,1529,5900593,0,75,2.47e-07,"0.867 (0.858, 0.876)"
"54",1,1.321884234124e-05,0.999986781157659,0.000259059500494653,1,1529,5900590,0,78,2.49e-07,"0.867 (0.858, 0.876)"
"55",1,1.37272593543646e-05,0.999986272740646,0.000259059632172597,1,1529,5900587,0,81,2.5e-07,"0.867 (0.858, 0.876)"
"56",1,1.49135657183221e-05,0.999985086434282,0.000259059939421654,1,1529,5900580,0,88,2.51e-07,"0.867 (0.858, 0.876)"
"57",1,1.52525103937385e-05,0.999984747489606,0.000259060027207233,1,1529,5900578,0,90,2.52e-07,"0.867 (0.858, 0.876)"
"58",1,1.54219827314467e-05,0.999984578017269,0.000259060071100045,1,1529,5900577,0,91,2.53e-07,"0.867 (0.858, 0.876)"
"59",1,1.64388167576959e-05,0.999983561183242,0.000259060334457227,1,1529,5900571,0,97,2.54e-07,"0.867 (0.858, 0.876)"
"60",1,1.74556507839451e-05,0.999982544349216,0.000259060597814945,1,1529,5900565,0,103,2.55e-07,"0.867 (0.858, 0.876)"
"61",1,1.84724848101944e-05,0.99998152751519,0.000259060861173198,1,1529,5900559,0,109,2.56e-07,"0.867 (0.858, 0.876)"
"62",1,1.8980901823319e-05,0.999981019098177,0.000259060992852526,1,1529,5900556,0,112,2.57e-07,"0.867 (0.858, 0.876)"
"63",1,1.99977358495682e-05,0.99998000226415,0.000259061256211582,1,1529,5900550,0,118,2.58e-07,"0.867 (0.858, 0.876)"
"64",1,2.05061528626928e-05,0.999979493847137,0.000259061387891311,1,1529,5900547,0,121,2.59e-07,"0.867 (0.858, 0.876)"
"65",1,2.10145698758174e-05,0.999978985430124,0.000259061519571174,1,1529,5900544,0,124,2.6e-07,"0.867 (0.858, 0.876)"
"66",1,2.11840422135257e-05,0.999978815957786,0.000259061563464492,1,1529,5900543,0,125,2.63e-07,"0.867 (0.858, 0.876)"
"67",1,2.13535145512339e-05,0.999978646485449,0.000259061607357824,1,1529,5900542,0,126,2.64e-07,"0.867 (0.858, 0.876)"
"68",1,2.16924592266503e-05,0.999978307540773,0.000259061695144533,1,1529,5900540,0,128,2.65e-07,"0.867 (0.858, 0.876)"
"69",1,2.23703485774831e-05,0.999977629651423,0.00025906187071813,1,1529,5900536,0,132,2.66e-07,"0.867 (0.858, 0.876)"
"70",1,2.25398209151913e-05,0.999977460179085,0.000259061914611566,1,1529,5900535,0,133,2.67e-07,"0.867 (0.858, 0.876)"
"71",1,2.27092932528995e-05,0.999977290706747,0.000259061958505018,1,1529,5900534,0,134,2.68e-07,"0.867 (0.858, 0.876)"
"72",1,2.32177102660241e-05,0.999976782289734,0.000259062090185461,1,1529,5900531,0,137,2.69e-07,"0.867 (0.858, 0.876)"
"73",1,2.37261272791487e-05,0.999976273872721,0.000259062221866038,1,1529,5900528,0,140,2.7e-07,"0.867 (0.858, 0.876)"
"74",1,2.44040166299816e-05,0.99997559598337,0.000259062397440348,1,1529,5900524,0,144,2.71e-07,"0.867 (0.858, 0.876)"
"75",1,2.45734889676898e-05,0.999975426511032,0.000259062441333963,1,1529,5900523,0,145,2.72e-07,"0.867 (0.858, 0.876)"
"76",1,2.50819059808144e-05,0.999974918094019,0.000259062573014897,1,1529,5900520,0,148,2.73e-07,"0.867 (0.858, 0.876)"
"77",1,2.5590322993939e-05,0.999974409677006,0.000259062704695965,1,1529,5900517,0,151,2.74e-07,"0.867 (0.858, 0.876)"
"78",1,2.643768468248e-05,0.999973562315318,0.000259062924164708,1,1529,5900512,0,156,2.75e-07,"0.867 (0.858, 0.876)"
"79",1,2.66071570201882e-05,0.99997339284298,0.000259062968058502,1,1529,5900511,0,157,2.76e-07,"0.867 (0.858, 0.876)"
"80",1,2.69461016956046e-05,0.999973053898304,0.000259063055846133,1,1529,5900509,0,159,2.78e-07,"0.867 (0.858, 0.876)"
"81",1,2.7285046371021e-05,0.999972714953629,0.000259063143633824,1,1529,5900507,0,161,2.79e-07,"0.867 (0.858, 0.876)"
"82",1,2.79629357218539e-05,0.999972037064278,0.000259063319209384,1,1529,5900503,0,165,2.8e-07,"0.867 (0.858, 0.876)"
"83",1,2.86408250726867e-05,0.999971359174927,0.000259063494785182,1,1529,5900499,0,169,2.81e-07,"0.867 (0.858, 0.876)"
"84",1,2.89797697481031e-05,0.999971020230252,0.000259063582573171,1,1529,5900497,0,171,2.83e-07,"0.867 (0.858, 0.876)"
"85",1,2.91492420858113e-05,0.999970850757914,0.000259063626467187,1,1529,5900496,0,172,2.87e-07,"0.867 (0.858, 0.876)"
"86",1,2.93187144235195e-05,0.999970681285577,0.000259063670361218,1,1529,5900495,0,173,2.88e-07,"0.867 (0.858, 0.876)"
"87",1,2.94881867612277e-05,0.999970511813239,0.000259063714255265,1,1529,5900494,0,174,2.9e-07,"0.867 (0.858, 0.876)"
"88",1,2.96576590989359e-05,0.999970342340901,0.000259063758149326,1,1529,5900493,0,175,2.91e-07,"0.867 (0.858, 0.876)"
"89",1,2.99966037743523e-05,0.999970003396226,0.000259063845937493,1,1529,5900491,0,177,2.92e-07,"0.867 (0.858, 0.876)"
"90",1,3.01660761120605e-05,0.999969833923888,0.000259063889831598,1,1529,5900490,0,178,2.95e-07,"0.867 (0.858, 0.876)"
"91",1,3.05050207874769e-05,0.999969494979213,0.000259063977619854,1,1529,5900488,0,180,2.97e-07,"0.867 (0.858, 0.876)"
"92",1,3.06744931251851e-05,0.999969325506875,0.000259064021514005,1,1529,5900487,0,181,2.99e-07,"0.867 (0.858, 0.876)"
"93",1,3.15218548137262e-05,0.999968478145186,0.00025906424098498,1,1529,5900482,0,186,3e-07,"0.867 (0.858, 0.876)"
"94",1,3.16913271514344e-05,0.999968308672849,0.000259064284879219,1,1529,5900481,0,187,3.01e-07,"0.867 (0.858, 0.876)"
"95",1,3.20302718268508e-05,0.999967969728173,0.000259064372667743,1,1529,5900479,0,189,3.02e-07,"0.867 (0.858, 0.876)"
"96",1,3.2199744164559e-05,0.999967800255835,0.000259064416562027,1,1529,5900478,0,190,3.03e-07,"0.867 (0.858, 0.876)"
"97",1,3.23692165022672e-05,0.999967630783498,0.000259064460456326,1,1529,5900477,0,191,3.04e-07,"0.867 (0.858, 0.876)"
"98",1,3.27081611776836e-05,0.999967291838822,0.000259064548244969,1,1529,5900475,0,193,3.05e-07,"0.867 (0.858, 0.876)"
"99",1,3.28776335153918e-05,0.999967122366485,0.000259064592139313,1,1529,5900474,0,194,3.06e-07,"0.867 (0.858, 0.876)"
"100",1,3.30471058531e-05,0.999966952894147,0.000259064636033671,1,1529,5900473,0,195,3.08e-07,"0.867 (0.858, 0.876)"
"101",1,3.33860505285164e-05,0.999966613949472,0.000259064723822433,1,1529,5900471,0,197,3.09e-07,"0.867 (0.858, 0.876)"
"102",1,3.35555228662246e-05,0.999966444477134,0.000259064767716836,1,1529,5900470,0,198,3.1e-07,"0.867 (0.858, 0.876)"
"103",1,3.40639398793493e-05,0.999965936060121,0.000259064899400135,1,1529,5900467,0,201,3.11e-07,"0.867 (0.858, 0.876)"
"104",1,3.49113015678903e-05,0.999965088698432,0.000259065118872597,1,1529,5900462,0,206,3.13e-07,"0.867 (0.858, 0.876)"
"105",1,3.54197185810149e-05,0.999964580281419,0.000259065250556253,1,1529,5900459,0,209,3.15e-07,"0.867 (0.858, 0.876)"
"106",1,3.55891909187231e-05,0.999964410809081,0.000259065294450835,1,1529,5900458,0,210,3.16e-07,"0.867 (0.858, 0.876)"
"107",1,3.59281355941395e-05,0.999964071864406,0.000259065382240043,1,1529,5900456,0,212,3.17e-07,"0.867 (0.858, 0.876)"
"108",1,3.60976079318477e-05,0.999963902392068,0.000259065426134669,1,1529,5900455,0,213,3.19e-07,"0.867 (0.858, 0.876)"
"109",1,3.62670802695559e-05,0.99996373291973,0.000259065470029311,1,1529,5900454,0,214,3.21e-07,"0.867 (0.858, 0.876)"
"110",1,3.67754972826805e-05,0.999963224502717,0.000259065601713323,1,1529,5900451,0,217,3.23e-07,"0.867 (0.858, 0.876)"
"111",1,3.71144419580969e-05,0.999962885558042,0.00025906568950274,1,1529,5900449,0,219,3.24e-07,"0.867 (0.858, 0.876)"
"112",1,3.76228589712216e-05,0.999962377141029,0.000259065821186976,1,1529,5900446,0,222,3.25e-07,"0.867 (0.858, 0.876)"
"113",1,3.77923313089298e-05,0.999962207668691,0.000259065865081751,1,1529,5900445,0,223,3.27e-07,"0.867 (0.858, 0.876)"
"114",1,3.7961803646638e-05,0.999962038196353,0.000259065908976541,1,1529,5900444,0,224,3.29e-07,"0.867 (0.858, 0.876)"
"115",1,3.81312759843462e-05,0.999961868724016,0.000259065952871345,1,1529,5900443,0,225,3.3e-07,"0.867 (0.858, 0.876)"
"116",1,3.83007483220544e-05,0.999961699251678,0.000259065996766165,1,1529,5900442,0,226,3.31e-07,"0.867 (0.858, 0.876)"
"117",1,3.84702206597626e-05,0.99996152977934,0.000259066040661,1,1529,5900441,0,227,3.32e-07,"0.867 (0.858, 0.876)"
"118",1,3.86396929974708e-05,0.999961360307003,0.000259066084555849,1,1529,5900440,0,228,3.33e-07,"0.867 (0.858, 0.876)"
"119",1,3.94870546860118e-05,0.999960512945314,0.000259066304030319,1,1529,5900435,0,233,3.34e-07,"0.867 (0.858, 0.876)"
"120",1,3.99954716991364e-05,0.999960004528301,0.00025906643571518,1,1529,5900432,0,236,3.36e-07,"0.867 (0.858, 0.876)"
"121",1,4.03344163745528e-05,0.999959665583625,0.000259066523505162,1,1529,5900430,0,238,3.37e-07,"0.867 (0.858, 0.876)"
"122",1,4.06733610499693e-05,0.99995932663895,0.000259066611295203,1,1529,5900428,0,240,3.38e-07,"0.867 (0.858, 0.876)"
"123",1,4.10123057253857e-05,0.999958987694275,0.000259066699085303,1,1529,5900426,0,242,3.41e-07,"0.867 (0.858, 0.876)"
"124",1,4.11817780630939e-05,0.999958818221937,0.000259066742980376,1,1529,5900425,0,243,3.42e-07,"0.867 (0.858, 0.876)"
"125",1,4.13512504008021e-05,0.999958648749599,0.000259066786875463,1,1529,5900424,0,244,3.44e-07,"0.867 (0.858, 0.876)"
"126",1,4.15207227385103e-05,0.999958479277261,0.000259066830770565,1,1529,5900423,0,245,3.46e-07,"0.867 (0.858, 0.876)"
"127",1,4.16901950762185e-05,0.999958309804924,0.000259066874665683,1,1529,5900422,0,246,3.47e-07,"0.867 (0.858, 0.876)"
"128",1,4.18596674139267e-05,0.999958140332586,0.000259066918560815,1,1529,5900421,0,247,3.48e-07,"0.867 (0.858, 0.876)"
"129",1,4.25375567647595e-05,0.999957462443235,0.000259067094141492,1,1529,5900417,0,251,3.49e-07,"0.867 (0.858, 0.876)"
"130",1,4.28765014401759e-05,0.99995712349856,0.000259067181931919,1,1529,5900415,0,253,3.5e-07,"0.867 (0.858, 0.876)"
"131",1,4.30459737778841e-05,0.999956954026222,0.000259067225827156,1,1529,5900414,0,254,3.51e-07,"0.867 (0.858, 0.876)"
"132",1,4.35543907910087e-05,0.999956445609209,0.000259067357512953,1,1529,5900411,0,257,3.53e-07,"0.867 (0.858, 0.876)"
"133",1,4.3723863128717e-05,0.999956276136871,0.000259067401408249,1,1529,5900410,0,258,3.54e-07,"0.867 (0.858, 0.876)"
"134",1,4.38933354664252e-05,0.999956106664534,0.00025906744530356,1,1529,5900409,0,259,3.55e-07,"0.867 (0.858, 0.876)"
"135",1,4.42322801418416e-05,0.999955767719858,0.000259067533094225,1,1529,5900407,0,261,3.56e-07,"0.867 (0.858, 0.876)"
"136",1,4.4571224817258e-05,0.999955428775183,0.000259067620884951,1,1529,5900405,0,263,3.57e-07,"0.867 (0.858, 0.876)"
"137",1,4.47406971549662e-05,0.999955259302845,0.000259067664780336,1,1529,5900404,0,264,3.58e-07,"0.867 (0.858, 0.876)"
"138",1,4.55880588435072e-05,0.999954411941157,0.000259067884257483,1,1529,5900399,0,269,3.59e-07,"0.867 (0.858, 0.876)"
"139",1,4.64354205320482e-05,0.999953564579468,0.000259068103735003,1,1529,5900394,0,274,3.6e-07,"0.867 (0.858, 0.876)"
"140",1,4.66048928697564e-05,0.99995339510713,0.000259068147630552,1,1529,5900393,0,275,3.61e-07,"0.867 (0.858, 0.876)"
"141",1,4.69438375451729e-05,0.999953056162455,0.000259068235421693,1,1529,5900391,0,277,3.62e-07,"0.867 (0.858, 0.876)"
"142",1,4.72827822205893e-05,0.999952717217779,0.000259068323212895,1,1529,5900389,0,279,3.63e-07,"0.867 (0.858, 0.876)"
"143",1,4.77911992337139e-05,0.999952208800766,0.000259068454899808,1,1529,5900386,0,282,3.64e-07,"0.867 (0.858, 0.876)"
"144",1,4.81301439091303e-05,0.999951869856091,0.000259068542691158,1,1529,5900384,0,284,3.65e-07,"0.867 (0.858, 0.876)"
"145",1,4.88080332599631e-05,0.99995119196674,0.000259068718274036,1,1529,5900380,0,288,3.66e-07,"0.867 (0.858, 0.876)"
"146",1,4.89775055976713e-05,0.999951022494402,0.000259068762169793,1,1529,5900379,0,289,3.67e-07,"0.867 (0.858, 0.876)"
"147",1,4.96553949485041e-05,0.999950344605051,0.000259068937752969,1,1529,5900375,0,293,3.68e-07,"0.867 (0.858, 0.876)"
"148",1,5.06722289747534e-05,0.999949327771025,0.000259069201128179,1,1529,5900369,0,299,3.69e-07,"0.867 (0.858, 0.876)"
"149",1,5.2028007676419e-05,0.999947971992324,0.000259069552295959,1,1529,5900361,0,307,3.7e-07,"0.867 (0.858, 0.876)"
