"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.51",1,9.2794892569113e-06,0.999990720510743,0.00260141563479201,1,16302,6250286,0,58,9.99e-05
"result.52",1,9.43948045099598e-06,0.999990560519549,0.0026014160499168,1,16302,6250285,0,59,1e-04
"result.53",1,1.05594188095887e-05,0.99998944058119,0.00260141895579407,1,16302,6250278,0,66,0.000101
"result.54",1,1.18393483622661e-05,0.999988160651638,0.00260142227680461,1,16302,6250270,0,74,0.000102
"result.55",1,1.27992955267742e-05,0.999987200704473,0.00260142476756807,1,16302,6250264,0,80,0.000103
"result.56",1,1.51991634380444e-05,0.999984800836562,0.00260143099449761,1,16302,6250249,0,95,0.000104
"result.57",1,1.71190577670605e-05,0.999982880942233,0.0026014359760627,1,16302,6250237,0,107,0.000105
"result.58",1,1.90389520960766e-05,0.999980961047904,0.00260144095764688,1,16302,6250225,0,119,0.000106
"result.59",1,2.12788288132621e-05,0.999978721171187,0.00260144676951919,1,16302,6250211,0,133,0.000107
"result.60",1,2.4798635083125e-05,0.999975201364917,0.00260145590251386,1,16302,6250189,0,155,0.000108
"result.61",1,2.68785206062258e-05,0.999973121479394,0.00260146129931359,1,16302,6250176,0,168,0.000109
"result.62",1,3.05583180701734e-05,0.99996944168193,0.00260147084755256,1,16302,6250153,0,191,0.00011
"result.63",1,3.35981507577823e-05,0.999966401849242,0.00260147873528111,1,16302,6250134,0,210,0.000111
"result.64",1,3.71179570276452e-05,0.999962882042972,0.00260148786850023,1,16302,6250112,0,232,0.000112
"result.65",1,3.98378073270847e-05,0.999960162192673,0.00260149492603166,1,16302,6250095,0,249,0.000113
"result.66",1,4.39975783732863e-05,0.999956002421627,0.00260150571997732,1,16302,6250069,0,275,0.000114
"result.67",1,4.79973582254033e-05,0.999952002641775,0.0026015160988557,1,16302,6250044,0,300,0.000115
"result.68",1,5.27970940479436e-05,0.999947202905952,0.00260152855361906,1,16302,6250014,0,330,0.000116
"result.69",1,5.83967858409073e-05,0.999941603214159,0.00260154308432705,1,16302,6249979,0,365,0.000117
"result.70",1,6.3036530469363e-05,0.999936963469531,0.00260155512417949,1,16302,6249950,0,394,0.000118
"result.71",1,6.57563807688025e-05,0.999934243619231,0.00260156218207584,1,16302,6249933,0,411,0.000119
"result.72",1,7.13560725617662e-05,0.999928643927438,0.00260157671315949,1,16302,6249898,0,446,0.00012
"result.73",1,7.77557203251533e-05,0.999922244279675,0.002601593320311,1,16302,6249858,0,486,0.000121
"result.74",1,8.27154473417783e-05,0.999917284552658,0.00260160619099926,1,16302,6249827,0,517,0.000122
"result.75",1,8.84751303288267e-05,0.999911524869671,0.00260162113776479,1,16302,6249791,0,553,0.000123
"result.76",1,9.26349013750283e-05,0.999907365098625,0.00260163193275782,1,16302,6249765,0,579,0.000124
"result.77",1,9.93545315265848e-05,0.999900645468473,0.00260164937101272,1,16302,6249723,0,621,0.000125
"result.78",1,0.000105434196901803,0.999894565803098,0.00260166514868288,1,16302,6249685,0,659,0.000126
"result.79",1,0.000112793791829698,0.99988720620817,0.00260168424822385,1,16302,6249639,0,705,0.000127
"result.80",1,0.000120793351533932,0.999879206648466,0.00260170500891254,1,16302,6249589,0,755,0.000128
"result.81",1,0.000127192999297319,0.999872807000703,0.00260172161770205,1,16302,6249549,0,795,0.000129
"result.82",1,0.000134392603031129,0.999865607396969,0.00260174030284372,1,16302,6249504,0,840,0.00013
"result.83",1,0.000142872136317617,0.999857127863682,0.00260176231013256,1,16302,6249451,0,893,0.000131
"result.84",1,0.00015151166079819,0.999848488339202,0.00260178473303617,1,16302,6249397,0,947,0.000132
"result.85",1,0.00016143111483144,0.999838568885169,0.00260181047832806,1,16302,6249335,0,1009,0.000133
"result.86",1,0.000170390621700182,0.9998296093783,0.00260183373257803,1,16302,6249279,0,1065,0.000134
"result.87",1,0.000181430014092024,0.999818569985908,0.00260186238570766,1,16302,6249210,0,1134,0.000135
"result.88",1,0.000191349468125274,0.999808650531875,0.00260188813253637,1,16302,6249148,0,1196,0.000136
"result.89",1,0.000203988772457964,0.999796011227542,0.0026019209397177,1,16302,6249069,0,1275,0.000137
"result.90",1,0.000216468085596569,0.999783531914403,0.00260195333242994,1,16302,6248991,0,1353,0.000138
"result.91",0.999938657833395,0.000229267381123343,0.999770732618877,0.00260182736035109,0.999302649930265,16301,6248911,1,1433,0.000139
"result.92",0.999938657833395,0.000243506597396879,0.999756493402603,0.00260186432093991,0.999343401181878,16301,6248822,1,1522,0.00014
"result.93",0.999938657833395,0.000257745813670416,0.99974225418633,0.00260190128257883,0.999379652605459,16301,6248733,1,1611,0.000141
"result.94",0.999938657833395,0.000270705100391274,0.999729294899609,0.00260193492273605,0.999409332545777,16301,6248652,1,1692,0.000142
"result.95",0.999938657833395,0.000283504395918049,0.999716495604082,0.00260196814843653,0.999435984207558,16301,6248572,1,1772,0.000143
"result.96",0.999938657833395,0.000300463462491024,0.999699536537509,0.00260201217379673,0.999467802022352,16301,6248466,1,1878,0.000144
"result.97",0.999938657833395,0.000318222485034424,0.999681777514966,0.00260205827742178,0.999497487437186,16301,6248355,1,1989,0.000145
"result.98",0.999938657833395,0.0003351815516074,0.999664818448393,0.00260210230583202,0.999522900763359,16301,6248249,1,2095,0.000146
"result.99",0.999938657833395,0.000351660644598121,0.999648339355402,0.00260214508958253,0.999545247839927,16301,6248146,1,2198,0.000147
"result.100",0.999938657833395,0.000368779702365182,0.999631220297635,0.00260218953632785,0.999566348655681,16301,6248039,1,2305,0.000148
"result.101",0.999938657833395,0.000390858487148867,0.999609141512851,0.00260224686240961,0.999590834697218,16301,6247901,1,2443,0.000149
"result.102",0.999938657833395,0.000411177368797621,0.999588822631202,0.00260229962125294,0.999611046285492,16301,6247774,1,2570,0.00015
"result.103",0.999938657833395,0.000435656021492577,0.999564343978507,0.00260236318396046,0.999632892804699,16301,6247621,1,2723,0.000151
"result.104",0.999938657833395,0.000458054788664432,0.999541945211336,0.0026024213486357,0.999650837988827,16301,6247481,1,2863,0.000152
"result.105",0.999938657833395,0.000479813591059948,0.99952018640894,0.00260247785395279,0.999666666666667,16301,6247345,1,2999,0.000153
"result.106",0.999938657833395,0.000502532340619972,0.99949746765938,0.00260253685477011,0.999681731381286,16301,6247203,1,3141,0.000154
"result.107",0.999938657833395,0.000529570852420283,0.99947042914758,0.00260260707753936,0.999697976442163,16301,6247034,1,3310,0.000155
"result.108",0.999938657833395,0.000556289381832424,0.999443710618168,0.00260267647299258,0.999712478435883,16301,6246867,1,3477,0.000156
"result.109",0.999938657833395,0.000584767814379497,0.99941523218562,0.00260275044347827,0.99972647702407,16301,6246689,1,3655,0.000157
"result.110",0.999938657833395,0.000621725780213057,0.999378274219787,0.00260284644515301,0.999742732184204,16301,6246458,1,3886,0.000158
"result.111",0.999938657833395,0.000653884010224077,0.999346115989776,0.00260292998484006,0.999755381604697,16301,6246257,1,4087,0.000159
"result.112",0.999938657833395,0.000690042020087214,0.999309957979913,0.00260302392144013,0.999768196569309,16301,6246031,1,4313,0.00016
"result.113",0.999938657833395,0.000723320188456827,0.999276679811543,0.00260311038235589,0.999778858911986,16301,6245823,1,4521,0.000161
"result.114",0.999938657833395,0.000761238101454896,0.999238761898545,0.00260320890491956,0.999789871821811,16301,6245586,1,4758,0.000162
"result.115",0.999938657833395,0.000798036076094372,0.999201963923906,0.00260330452466496,0.999799559029866,16301,6245356,1,4988,0.000163
"result.116",0.999938657833395,0.000841553680885404,0.999158446319115,0.00260341761447347,0.999809922068048,16301,6245084,1,5260,0.000164
"result.117",0.999938657833395,0.000882671417765166,0.999117328582235,0.00260352447673965,0.999818774918449,16301,6244827,1,5517,0.000165
"result.118",0.999938657833395,0.000932428679125501,0.999067571320875,0.00260365380428784,0.999828443986962,16301,6244516,1,5828,0.000166
"result.119",0.999938657833395,0.000980586028544989,0.999019413971455,0.00260377898562994,0.999836867862969,16301,6244215,1,6129,0.000167
"result.120",0.999938657833395,0.00102298369497743,0.998977016305023,0.00260388920508139,0.999843627834246,16301,6243950,1,6394,0.000168
"result.121",0.999938657833395,0.00108442031350594,0.998915579686494,0.00260404893586397,0.999852485617348,16301,6243566,1,6778,0.000169
"result.122",0.999938657833395,0.00114121718740601,0.998858782812594,0.00260419662107845,0.999859826184469,16301,6243211,1,7133,0.00017
"result.123",0.999938657833395,0.00119961397324691,0.998800386026753,0.00260434848390683,0.999866648886518,16301,6242846,1,7498,0.000171
"result.124",0.999938657833395,0.00125465094401204,0.998745349055988,0.00260449162563513,0.999872497768711,16301,6242502,1,7842,0.000172
"result.125",0.999938657833395,0.00131656753612281,0.998683432463877,0.00260465267888872,0.999878493317132,16301,6242115,1,8229,0.000173
"result.126",0.999938657833395,0.00138152396092119,0.998618476039079,0.00260482166055983,0.999884205650764,16301,6241709,1,8635,0.000174
"result.127",0.999938657833395,0.00145192008631845,0.998548079913682,0.00260500481816424,0.999889819303658,16301,6241269,1,9075,0.000175
"result.128",0.999938657833395,0.001517196493505,0.998482803506495,0.00260517467823272,0.999894559257697,16301,6240861,1,9483,0.000176
"result.129",0.999938657833395,0.00159415225785973,0.99840584774214,0.00260537495838449,0.999899648770697,16301,6240380,1,9964,0.000177
"result.130",0.999938657833395,0.00167014807504995,0.99832985192495,0.00260557277046184,0.999904214559387,16301,6239905,1,10439,0.000178
"result.131",0.999938657833395,0.0017416641388058,0.998258335861194,0.0026057589494736,0.99990814733168,16301,6239458,1,10886,0.000179
"result.132",0.999938657833395,0.00182581950689434,0.998174180493106,0.00260597806668433,0.999912380618593,16301,6238932,1,11412,0.00018
"result.133",0.999938657833395,0.00191989432901613,0.998080105670984,0.0026062230550255,0.999916673610532,16301,6238344,1,12000,0.000181
"result.134",0.999938657833395,0.00201124930083848,0.997988750699161,0.00260646100445885,0.999920458160993,16301,6237773,1,12571,0.000182
