"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.22",1,6.34024374614207e-06,0.999993659756254,0.00622132836987245,1,41470,6624309,0,42,0.000131
"result.23",1,6.79311829943794e-06,0.999993206881701,0.00622133116984429,1,41470,6624306,0,45,0.000132
"result.24",1,7.39695103716575e-06,0.999992603048963,0.006221334903144,1,41470,6624302,0,49,0.000133
"result.25",1,8.15174195932553e-06,0.999991848258041,0.00622133956977494,1,41470,6624297,0,54,0.000134
"result.26",1,8.9065328814853e-06,0.999991093467119,0.00622134423641288,1,41470,6624292,0,59,0.000135
"result.27",1,9.96324017250898e-06,0.999990036759827,0.00622135076971776,1,41470,6624285,0,66,0.000136
"result.28",1,1.08689892791007e-05,0.999989131010721,0.00622135636970429,1,41470,6624279,0,72,0.000137
"result.29",1,1.16237802012605e-05,0.999988376219799,0.00622136103636743,1,41470,6624274,0,77,0.000138
"result.30",1,1.25295293078522e-05,0.999987470470692,0.00622136663637245,1,41470,6624268,0,83,0.000139
"result.31",1,1.40391111521717e-05,0.999985960888848,0.00622137596973654,1,41470,6624258,0,93,0.00014
"result.32",1,1.52467766276274e-05,0.999984753223372,0.00622138343644798,1,41470,6624250,0,101,0.000141
"result.33",1,1.76621075785386e-05,0.999982337892421,0.00622139836992462,1,41470,6624234,0,117,0.000142
"result.34",1,1.84168985006984e-05,0.999981583101499,0.00622140303665077,1,41470,6624229,0,122,0.000143
"result.35",1,1.88697730539943e-05,0.999981130226946,0.00622140583668982,1,41470,6624226,0,125,0.000144
"result.36",1,1.9926480345018e-05,0.999980073519655,0.00622141237012408,1,41470,6624219,0,132,0.000145
"result.37",1,2.14360621893375e-05,0.999978563937811,0.00622142170362539,1,41470,6624209,0,142,0.000146
"result.38",1,2.2945644033657e-05,0.999977054355966,0.00622143103715471,1,41470,6624199,0,152,0.000147
"result.39",1,2.33985185869529e-05,0.999976601481413,0.00622143383721897,1,41470,6624196,0,155,0.000148
"result.40",1,2.53609749845683e-05,0.999974639025015,0.00622144597085987,1,41470,6624183,0,168,0.000149
"result.41",1,2.79272641199115e-05,0.99997207273588,0.00622146183800015,1,41470,6624166,0,185,0.00015
"result.42",1,2.9738762333095e-05,0.999970261237667,0.0062214730383832,1,41470,6624154,0,197,0.000151
"result.43",1,3.07954696241187e-05,0.999969204530376,0.0062214795719586,1,41470,6624147,0,204,0.000152
"result.44",1,3.20031350995743e-05,0.9999679968649,0.00622148703891872,1,41470,6624139,0,212,0.000153
"result.45",1,3.38146333127577e-05,0.999966185366687,0.00622149823939251,1,41470,6624127,0,224,0.000154
"result.46",1,3.57770897103731e-05,0.99996422291029,0.00622151037328462,1,41470,6624114,0,237,0.000155
"result.47",1,3.80414624768525e-05,0.999961958537523,0.00622152437398818,1,41470,6624099,0,252,0.000156
"result.48",1,4.01548770588998e-05,0.999959845122941,0.00622153744136835,1,41470,6624085,0,266,0.000157
"result.49",1,4.45326644074265e-05,0.999955467335593,0.00622156450968761,1,41470,6624056,0,295,0.000158
"result.50",1,4.72499117272017e-05,0.999952750088273,0.00622158131083182,1,41470,6624038,0,313,0.000159
"result.51",1,5.02690754158407e-05,0.999949730924584,0.00622159997887627,1,41470,6624018,0,333,0.00016
"result.52",1,5.31372809200479e-05,0.99994686271908,0.00622161771362225,1,41470,6623999,0,352,0.000161
"result.53",1,5.76660264530065e-05,0.999942333973547,0.00622164571605861,1,41470,6623969,0,382,0.000162
"result.54",1,6.15909392482373e-05,0.999938409060752,0.00622166998504069,1,41470,6623943,0,408,0.000163
"result.55",1,6.49120193057403e-05,0.999935087980694,0.00622169052048109,1,41470,6623921,0,430,0.000164
"result.56",1,6.74783084410835e-05,0.999932521691559,0.0062217063888688,1,41470,6623904,0,447,0.000165
"result.57",1,7.01955557608587e-05,0.999929804444239,0.00622172319077931,1,41470,6623886,0,465,0.000166
"result.58",1,7.36675940027936e-05,0.999926332405997,0.00622174466001924,1,41470,6623863,0,488,0.000167
"result.59",1,7.69886740602966e-05,0.99992301132594,0.0062217651959526,1,41470,6623841,0,510,0.000168
"result.60",1,7.98568795645038e-05,0.999920143120436,0.0062217829316405,1,41470,6623822,0,529,0.000169
"result.61",1,8.64990396795097e-05,0.999913500960321,0.00622182400414808,1,41470,6623778,0,573,0.00017
"result.62",1,9.02729942903086e-05,0.99990972700571,0.0062218473410417,1,41470,6623753,0,598,0.000171
"result.63",1,9.43488652699714e-05,0.99990565113473,0.00622187254508345,1,41470,6623726,0,625,0.000172
"result.64",1,9.99343180939537e-05,0.999900065681906,0.00622190708428711,1,41470,6623689,0,662,0.000173
"result.65",1,0.000103104439967025,0.999896895560033,0.00622192668778951,1,41470,6623668,0,683,0.000174
"result.66",1,0.000106123603655664,0.999893876396344,0.00622194535790664,1,41470,6623648,0,703,0.000175
"result.67",1,0.000108991809159871,0.99989100819084,0.0062219630946217,1,41470,6623629,0,722,0.000176
"result.68",1,0.000112916721955102,0.999887083278045,0.00622198736607986,1,41470,6623603,0,748,0.000177
"result.69",1,0.000117294509303628,0.999882705490696,0.00622201443831429,1,41470,6623574,0,777,0.000178
"result.70",1,0.000121370380283291,0.999878629619717,0.00622203964370984,1,41470,6623547,0,804,0.000179
"result.71",1,0.000126804874922842,0.999873195125077,0.00622207325122157,1,41470,6623511,0,840,0.00018
"result.72",1,0.000132692244115688,0.999867307755884,0.00622210965976898,1,41470,6623472,0,879,0.000181
"result.73",1,0.000138881529677398,0.999861118470323,0.00622214793588082,1,41470,6623431,0,920,0.000182
"result.74",1,0.00014371219157922,0.999856287808421,0.00622217781024653,1,41470,6623399,0,952,0.000183
"result.75",1,0.000149448602587635,0.999850551397412,0.00622221328642842,1,41470,6623361,0,990,0.000184
"result.76",1,0.000155939804518209,0.999844060195482,0.00622225343101686,1,41470,6623318,0,1033,0.000185
"result.77",1,0.000165450170137422,0.999834549829863,0.00622231224844236,1,41470,6623255,0,1096,0.000186
"result.78",1,0.000174960535756635,0.999825039464243,0.00622237106697984,1,41470,6623192,0,1159,0.000187
"result.79",1,0.000181149821318345,0.999818850178682,0.00622240934630791,1,41470,6623151,0,1200,0.000188
"result.80",1,0.000189603479646534,0.999810396520353,0.00622246163102918,1,41470,6623095,0,1256,0.000189
"result.81",1,0.00019624563976154,0.999803754360238,0.00622250271249802,1,41470,6623051,0,1300,0.00019
"result.82",1,0.000205001214458594,0.999794998785541,0.00622255686617211,1,41470,6622993,0,1358,0.000191
"result.83",1,0.000214058705524511,0.999785941294476,0.00622261288820619,1,41470,6622933,0,1418,0.000192
"result.84",1,0.0002225123638527,0.999777487636147,0.00622266517634811,1,41470,6622877,0,1474,0.000193
"result.85",1,0.000230362189443162,0.999769637810557,0.00622271373040959,1,41470,6622825,0,1526,0.000194
"result.86",1,0.000239721596877943,0.999760278403122,0.0062227716227809,1,41470,6622763,0,1588,0.000195
"result.87",1,0.000244401300595334,0.999755598699405,0.0062228005693705,1,41470,6622732,0,1619,0.000196
"result.88",1,0.000250892502525908,0.999749107497474,0.00622284072153741,1,41470,6622689,0,1662,0.000197
"result.89",1,0.00026191244998944,0.999738087550011,0.00622290888803056,1,41470,6622616,0,1735,0.000198
"result.90",1,0.000270064191948766,0.999729935808051,0.0062229593135207,1,41470,6622562,0,1789,0.000199
"result.91",1,0.000279121683014683,0.999720878316985,0.00622301534280156,1,41470,6622502,0,1849,2e-04
"result.92",1,0.000286669592236281,0.999713330407764,0.00622306203463966,1,41470,6622452,0,1899,0.000201
"result.93",1,0.000295576125117766,0.999704423874882,0.00622311713190982,1,41470,6622393,0,1958,0.000202
"result.94",1,0.000307501821687891,0.999692498178312,0.00622319090774851,1,41470,6622314,0,2037,0.000203
"result.95",1,0.000318974643704719,0.999681025356295,0.00622326188362395,1,41470,6622238,0,2113,0.000204
"result.96",1,0.000332711838488027,0.999667288161512,0.00622334687002569,1,41470,6622147,0,2204,0.000205
"result.97",1,0.000341316455000648,0.999658683544999,0.00622340010444867,1,41470,6622090,0,2261,0.000206
"result.98",1,0.000352638318833045,0.999647361681167,0.00622347015112963,1,41470,6622015,0,2336,0.000207
"result.99",1,0.000364865931772033,0.999635134068228,0.00622354580331614,1,41470,6621934,0,2417,0.000208
"result.100",1,0.000376791628342158,0.999623208371658,0.00622361958931915,1,41470,6621855,0,2496,0.000209
"result.101",1,0.00038856636672785,0.999611433633272,0.00622369244303866,1,41470,6621777,0,2574,0.00021
"result.102",1,0.00040094493785127,0.999599055062149,0.00622376903468547,1,41470,6621695,0,2656,0.000211
"result.103",1,0.000410455303470483,0.999589544696529,0.00622382788076785,1,41470,6621632,0,2719,0.000212
"result.104",1,0.000423890581884927,0.999576109418115,0.00622391101443146,1,41470,6621543,0,2808,0.000213
"result.105",1,0.000435212445717324,0.999564787554283,0.00622398107261391,1,41470,6621468,0,2883,0.000214
"result.106",1,0.000448194849578472,0.999551805150422,0.00622406140793762,1,41470,6621382,0,2969,0.000215
"result.107",1,0.000460573420701892,0.999539426579298,0.00622413800866606,1,41470,6621300,0,3051,0.000216
"result.108",1,0.000477178820989407,0.999522821179011,0.00622424076870199,1,41470,6621190,0,3161,0.000217
"result.109",1,0.000490463141219419,0.999509536858781,0.00622432297917381,1,41470,6621102,0,3249,0.000218
"result.110",1,0.00050601183421591,0.999493988165784,0.00622441920555278,1,41470,6620999,0,3352,0.000219
"result.111",1,0.000518692321708195,0.999481307678292,0.00622449768363732,1,41470,6620915,0,3436,0.00022
"result.112",1,0.000535750596549005,0.999464249403451,0.00622460325846798,1,41470,6620802,0,3549,0.000221
"result.113",1,0.000550846414992201,0.999449153585008,0.00622469669050874,1,41470,6620702,0,3649,0.000222
"result.114",1,0.000567602773464148,0.999432397226536,0.00622480040335866,1,41470,6620591,0,3760,0.000223
"result.115",1,0.000583302424645071,0.999416697575355,0.00622489757889461,1,41470,6620487,0,3864,0.000224
"result.116",1,0.000597492493981675,0.999402507506018,0.00622498541323951,1,41470,6620393,0,3958,0.000225
"result.117",1,0.000614248852453622,0.999385751147546,0.00622508913571085,1,41470,6620282,0,4069,0.000226
"result.118",1,0.00063191096003216,0.999368089039968,0.00622519846854413,1,41470,6620165,0,4186,0.000227
"result.119",1,0.00065349798040593,0.999346502019594,0.00622533210277818,1,41470,6620022,0,4329,0.000228
"result.120",1,0.000672669669828788,0.999327330330171,0.00622545078974054,1,41470,6619895,0,4456,0.000229
"result.121",1,0.000692294233804942,0.999307705766195,0.00622557228501922,1,41470,6619765,0,4586,0.00023
"result.122",1,0.000707088135879273,0.999292911864121,0.0062256638769027,1,41470,6619667,0,4684,0.000231
"result.123",1,0.000725655992564404,0.999274344007436,0.00622577883787664,1,41470,6619544,0,4807,0.000232
"result.124",1,0.000745280556540558,0.999254719443459,0.00622590034596009,1,41470,6619414,0,4937,0.000233
"result.125",1,0.000765207036885576,0.999234792963114,0.00622602372825171,1,41470,6619282,0,5069,0.000234
"result.126",1,0.000783020102648546,0.999216979897351,0.00622613402868255,1,41470,6619164,0,5187,0.000235
"result.127",1,0.000806720537604363,0.999193279462396,0.00622628079039985,1,41470,6619007,0,5344,0.000236
"result.128",1,0.000831477679851203,0.999168522320149,0.00622643410302188,1,41470,6618843,0,5508,0.000237
"result.129",1,0.000853517574778269,0.999146482425222,0.0062265705950016,1,41470,6618697,0,5654,0.000238
"result.130",1,0.000880388131607157,0.999119611868393,0.0062267370111272,1,41470,6618519,0,5832,0.000239
"result.131",1,0.000901975151980926,0.999098024848019,0.00622687071142486,1,41470,6618376,0,5975,0.00024
"result.132",1,0.000924467921461287,0.999075532078539,0.00622701002763339,1,41470,6618227,0,6124,0.000241
"result.133",1,0.000949979854630288,0.99905002014537,0.0062271680515496,1,41470,6618058,0,6293,0.000242
"result.134",1,0.000971415916819625,0.99902858408318,0.00622730083524217,1,41470,6617916,0,6435,0.000243
"result.135",1,0.000994663477222146,0.999005336522778,0.00622744484649281,1,41470,6617762,0,6589,0.000244
"result.136",1,0.00102259074134206,0.998977409258658,0.00622761785582832,1,41470,6617577,0,6774,0.000245
"result.137",1,0.00104432871990026,0.9989556712801,0.00622775252920789,1,41470,6617433,0,6918,0.000246
"result.138",0.999951772365565,0.00107135023491358,0.998928649765086,0.0062276214564897,0.999718270178898,41468,6617254,2,7097,0.000247
"result.139",0.999951772365565,0.00109671120989815,0.998903288790102,0.00622777858375858,0.999724783266823,41468,6617086,2,7265,0.000248
"result.140",0.999951772365565,0.00112086451940726,0.998879135480593,0.00622792823614824,0.999730712266056,41468,6616926,2,7425,0.000249
"result.141",0.999951772365565,0.00114954657444933,0.998850453425551,0.00622810595770271,0.99973742943416,41468,6616736,2,7615,0.00025
"result.142",0.999951772365565,0.00118592749689743,0.998814072503103,0.00622833139805673,0.999745482311021,41468,6616495,2,7856,0.000251
"result.143",0.999951772365565,0.00121340188646405,0.998786598113536,0.00622850165843545,0.999751243781094,41468,6616313,2,8038,0.000252
"result.144",0.999951772365565,0.0012443483142726,0.998755651685727,0.00622869344638349,0.999757428744694,41468,6616108,2,8243,0.000253
"result.145",0.999951772365565,0.00127710624029433,0.998722893759706,0.00622889647381191,0.999763649255495,41468,6615891,2,8460,0.000254
"result.146",0.999951772365565,0.00131318524637357,0.998686814753626,0.00622912009998318,0.999770141363062,41468,6615652,2,8699,0.000255
"result.147",0.999951772365565,0.0013426220923378,0.998657377907662,0.00622930256837804,0.999775179856115,41468,6615457,2,8894,0.000256
"result.148",0.999951772365565,0.00137507810199067,0.998624921898009,0.00622950376387134,0.999780485127867,41468,6615242,2,9109,0.000257
"result.149",0.999951772365565,0.00141040231714775,0.998589597682852,0.00622972275420207,0.999785981808454,41468,6615008,2,9343,0.000258
"result.150",0.999951772365565,0.00144602844867369,0.998553971551326,0.0062299436318402,0.999791253522597,41468,6614772,2,9579,0.000259
"result.151",0.999951772365565,0.00147893733287986,0.99852106266712,0.00623014767679554,0.999795897540565,41468,6614554,2,9797,0.00026
"result.152",0.999951772365565,0.00150822322065965,0.99849177677934,0.00623032926932607,0.999799859901931,41468,6614360,2,9991,0.000261
